file,size,in_patch_zip,whole_file_changed,changed_bytes,corpus_total,high,medium,low,e2_valid,e2_other,inline_changed,original_high,occupied_slots,free_slots,remaining_for_e2,capacity_state
5/S5013.DAT,305152,0,0,0,96,79,17,0,0,0,0,79,31,48,79,needs_choice_inline_or_bank_extension
5/S5021.DAT,305152,0,0,0,35,35,0,0,0,0,0,35,0,79,35,fits_current_e2_bank
5/S5022.DAT,305152,0,0,0,4,4,0,0,0,0,0,4,0,79,4,fits_current_e2_bank
5/S5023.DAT,305152,0,0,0,10,10,0,0,0,0,0,10,0,79,10,fits_current_e2_bank
5/S5024.DAT,305152,0,0,0,2,2,0,0,0,0,0,2,0,79,2,fits_current_e2_bank
5/S5025.DAT,305152,0,0,0,11,11,0,0,0,0,0,11,0,79,11,fits_current_e2_bank
5/S5026.DAT,305152,0,0,0,1,1,0,0,0,0,0,1,0,79,1,fits_current_e2_bank
5/S5031.DAT,305152,0,0,0,28,1,27,0,0,0,0,1,19,60,1,fits_current_e2_bank
5/S5032.DAT,305152,0,0,0,3,3,0,0,0,0,0,3,0,79,3,fits_current_e2_bank
5/S5041.DAT,305152,0,0,0,15,15,0,0,0,0,0,15,0,79,15,fits_current_e2_bank
5/S5051.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
5/S5052.DAT,305152,0,0,0,9,9,0,0,0,0,0,9,0,79,9,fits_current_e2_bank
6/S6011.DAT,305152,0,0,0,20,2,18,0,0,0,0,2,0,79,2,fits_current_e2_bank
6/S6012.DAT,305152,0,0,0,25,8,17,0,0,0,0,8,0,79,8,fits_current_e2_bank
6/S6013.DAT,305152,0,0,0,32,15,17,0,0,0,0,15,0,79,15,fits_current_e2_bank
6/S6014.DAT,305152,0,0,0,87,70,17,0,0,0,0,70,31,48,70,needs_choice_inline_or_bank_extension
6/S6021.DAT,305152,0,0,0,25,4,21,0,0,0,0,4,31,48,4,fits_current_e2_bank
6/S6022.DAT,305152,0,0,0,7,4,3,0,0,0,0,4,0,79,4,fits_current_e2_bank
6/S6031.DAT,305152,0,0,0,12,12,0,0,0,0,0,12,0,79,12,fits_current_e2_bank
6/S6032.DAT,305152,0,0,0,8,8,0,0,0,0,0,8,0,79,8,fits_current_e2_bank
6/S6041.DAT,305152,0,0,0,37,14,23,0,0,0,0,14,38,41,14,fits_current_e2_bank
6/S6051.DAT,305152,0,0,0,13,13,0,0,0,0,0,13,0,79,13,fits_current_e2_bank
6/S6052.DAT,305152,0,0,0,1,1,0,0,0,0,0,1,0,79,1,fits_current_e2_bank
6/S6053.DAT,305152,0,0,0,13,13,0,0,0,0,0,13,0,79,13,fits_current_e2_bank
6/S6054.DAT,305152,0,0,0,80,80,0,0,0,0,0,80,79,0,80,needs_choice_inline_or_bank_extension
7/S7011.DAT,305152,0,0,0,28,11,17,0,0,0,0,11,0,79,11,fits_current_e2_bank
7/S7012.DAT,305152,0,0,0,80,63,17,0,0,0,0,63,31,48,63,needs_choice_inline_or_bank_extension
7/S7021.DAT,305152,0,0,0,60,30,30,0,0,0,0,30,0,79,30,fits_current_e2_bank
7/S7022.DAT,305152,0,0,0,58,28,30,0,0,0,0,28,0,79,28,fits_current_e2_bank
7/S7023.DAT,305152,0,0,0,60,30,30,0,0,0,0,30,0,79,30,fits_current_e2_bank
7/S7024.DAT,305152,0,0,0,61,31,30,0,0,0,0,31,0,79,31,fits_current_e2_bank
7/S7025.DAT,305152,0,0,0,62,32,30,0,0,0,0,32,0,79,32,fits_current_e2_bank
7/S7026.DAT,305152,0,0,0,70,40,30,0,0,0,0,40,0,79,40,fits_current_e2_bank
7/S7027.DAT,305152,0,0,0,50,27,23,0,0,0,0,27,53,26,27,needs_choice_inline_or_bank_extension
7/S7028.DAT,305152,0,0,0,80,50,30,0,0,0,0,50,31,48,50,needs_choice_inline_or_bank_extension
7/S7031.DAT,305152,0,0,0,4,4,0,0,0,0,0,4,0,79,4,fits_current_e2_bank
7/S7032.DAT,305152,0,0,0,9,9,0,0,0,0,0,9,0,79,9,fits_current_e2_bank
8/S8011.DAT,305152,0,0,0,23,6,17,0,0,0,0,6,0,79,6,fits_current_e2_bank
