state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,command_word,nonzero_packet,coordinate_mode
1,0x801F9D88,9,0x801BF890,156,162,96,128,16,16,0x7FC2,2,506,빨,0x041BF85C,1,
1,0x801F9D88,10,0x801BF8C4,170,162,176,0,16,16,0x7FC1,1,45,리,0x041BF890,1,
1,0x801F9D88,11,0x801BF8F8,184,162,160,32,16,16,0x7FC0,0,160, ,0x041BF8C4,1,
1,0x801F9D88,12,0x801BF92C,190,162,0,0,16,16,0x7FC0,0,0,다,0x041BF8F8,1,
1,0x801F9D88,13,0x801BF960,204,162,112,128,16,16,0x7FC3,3,511,섯,0x041BF92C,1,
1,0x801F9D88,14,0x801BF994,218,162,160,32,16,16,0x7FC0,0,160, ,0x041BF960,1,
1,0x801F9D88,15,0x801BF9C8,224,162,208,16,16,16,0x7FC1,1,113,돌,0x041BF994,1,
2,0x801F031C,8,0x801EFE3C,136,120,96,0,16,16,0x7FC3,3,27,고,0x041EFE08,1,
2,0x801F031C,9,0x801EFE70,150,120,160,32,16,16,0x7FC0,0,160, ,0x041EFE3C,1,
2,0x801F031C,10,0x801EFEA4,156,120,112,0,16,16,0x7FC2,2,30,있,0x041EFE70,1,
2,0x801F031C,11,0x801EFED8,170,120,176,0,16,16,0x7FC0,0,44,습,0x041EFEA4,1,
2,0x801F031C,12,0x801EFF0C,184,120,16,0,16,16,0x7FC2,2,6,니,0x041EFED8,1,
2,0x801F031C,13,0x801EFF40,198,120,0,0,16,16,0x7FC0,0,0,다,0x041EFF0C,1,
2,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1,
2,0x801F031C,15,0x801EFFA8,218,120,16,0,16,16,0x7FC2,2,6,니,0x041EFF74,1,
2,0x801F031C,16,0x801EFFDC,232,120,0,0,16,16,0x7FC0,0,0,다,0x041EFFA8,1,
2,0x801F031C,17,0x801F0010,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,18,0x801F0044,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,19,0x801F0078,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,20,0x801F00AC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,21,0x801F00E0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,22,0x801F0114,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,23,0x801F0148,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,19,0x801F0B74,206,129,64,80,16,16,0x7FC3,3,319,작,0x041F0B40,1,
2,0x801F0E18,20,0x801F0BA8,220,129,32,64,16,16,0x7FC0,0,248,합,0x041F0B74,1,
2,0x801F0E18,21,0x801F0BDC,234,129,16,0,16,16,0x7FC2,2,6,니,0x041F0BA8,1,
2,0x801F0E18,22,0x801F0C10,248,129,0,0,16,16,0x7FC0,0,0,다,0x041F0BDC,1,
2,0x801F0E18,23,0x801F0C44,140,122,160,32,16,16,0x7FC0,0,160, ,0x041F0C10,1,
2,0x801F0E18,24,0x801F0C78,146,122,160,32,16,16,0x7FC0,0,160, ,0x041F0C44,1,
2,0x801F0E18,25,0x801F0CAC,152,122,32,0,16,16,0x7FC0,0,8,아,0x041F0C78,1,
2,0x801F0E18,26,0x801F0CE0,166,122,16,0,16,16,0x7FC2,2,6,니,0x041F0CAC,1,
2,0x801F0E18,27,0x801F0D14,180,122,160,0,16,16,0x7FC3,3,43,요,0x041F0CE0,1,
2,0x801F0E18,28,0x801F0D48,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,29,0x801F0D7C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,30,0x801F0DB0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,31,0x801F0DE4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F1DB4,6,0x801F1BAC,201,169,244,176,6,16,0x7FC2,2,962,0,0x041F1B78,1,compact_strip_u_plus_4
2,0x801F1DB4,7,0x801F1BE0,207,169,244,192,6,16,0x7FC3,3,967,5,0x041F1BAC,1,compact_strip_u_plus_4
2,0x801F1DB4,8,0x801F1C14,207,149,244,176,6,16,0x7FC3,3,963,1,0x041F1BE0,1,compact_strip_u_plus_4
2,0x801F1DB4,9,0x801F1C48,132,83,244,176,6,16,0x7FC3,3,963,1,0x041F1C14,1,compact_strip_u_plus_4
2,0x801F1DB4,10,0x801F1C7C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F1DB4,11,0x801F1CB0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F1DB4,12,0x801F1CE4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F1DB4,13,0x801F1D18,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F1DB4,14,0x801F1D4C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F1DB4,15,0x801F1D80,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,13,0x801BEC60,244,32,160,32,16,16,0x7FC0,0,160, ,0x041BEC2C,1,
2,0x801F9D44,14,0x801BEC94,250,32,160,32,16,16,0x7FC0,0,160, ,0x041BEC60,1,
2,0x801F9D44,15,0x801BECC8,256,32,160,32,16,16,0x7FC0,0,160, ,0x041BEC94,1,
2,0x801F9D44,16,0x801BECFC,114,48,160,32,16,16,0x7FC0,0,160, ,0x041BECC8,1,
2,0x801F9D44,17,0x801BED30,120,48,192,0,16,16,0x7FC3,3,51,사,0x041BECFC,1,
2,0x801F9D44,18,0x801BED64,134,48,48,64,16,16,0x7FC1,1,253,람,0x041BED30,1,
2,0x801F9D44,19,0x801BED98,148,48,128,0,16,16,0x7FC0,0,32,.,0x041BED64,1,
2,0x801F9D44,20,0x801BEDCC,162,48,96,0,16,16,0x7FC0,0,24,하,0x041BED98,1,
2,0x801F9D44,21,0x801BEE00,176,48,0,0,16,16,0x7FC3,3,3,지,0x041BEDCC,1,
